16.2287 0.000142857 0 0
16.2862 0.000142857 0 0
16.3438 0.000142857 0 0
16.4013 0.000142857 0 0
16.4589 0.000142857 0 0
16.5164 0.000142857 0 0
16.574 0.000285714 0 0
16.6315 0.000428571 0 0
16.689 0.000428571 0 0
16.7466 0.000714286 0 0
16.8041 0.000857143 0 0
16.8617 0.000857143 0 0
16.9192 0.001 0 0
16.9768 0.00114286 0 0
17.0343 0.00128571 0 0
17.0919 0.00142857 0 0
17.1494 0.00142857 0 0
17.207 0.00142857 0 0
17.2645 0.00142857 0 0
17.3221 0.00171429 0 0
17.3796 0.00185714 0 0
17.4372 0.002 0 0
17.4947 0.00242857 0 0
17.5523 0.00271429 0 0
17.6098 0.00271429 0 0
17.6674 0.00314286 0 0
17.7249 0.00328571 0 0.000285714
17.7825 0.00342857 0 0.000714286
17.84 0.00371429 0 0.000857143
17.8976 0.00414286 0 0.001
17.9551 0.00442857 0 0.00114286
18.0127 0.00514286 0 0.00128571
18.0702 0.00557143 0 0.00142857
18.1278 0.006 0 0.00157143
18.1853 0.00628571 0 0.00171429
18.2429 0.00685714 0 0.00171429
18.3004 0.00757143 0 0.00185714
18.358 0.00857143 0 0.003
18.4155 0.00914286 0 0.003
18.4731 0.00957143 0 0.00357143
18.5306 0.0101429 0 0.00385714
18.5882 0.0105714 0 0.00414286
18.6457 0.0115714 0 0.00442857
18.7033 0.0127143 0 0.005
18.7608 0.0141429 0 0.00542857
18.8184 0.016 0 0.00571429
18.8759 0.0174286 0 0.006
18.9335 0.019 0 0.00657143
18.991 0.0198571 0 0.00728571
19.0485 0.0211429 0 0.00785714
19.1061 0.0228571 0 0.00928571
19.1636 0.0247143 0 0.0101429
19.2212 0.0262857 0 0.0108571
19.2787 0.0284286 0 0.012
19.3363 0.03 0 0.0134286
19.3938 0.0317143 0 0.0158571
19.4514 0.034 0 0.0174286
19.5089 0.036 0 0.0191429
19.5665 0.0381429 0 0.0207143
19.624 0.0407143 0 0.0227143
19.6816 0.0434286 0 0.0238571
19.7391 0.0467143 0 0.0254286
19.7967 0.0504286 0 0.0265714
19.8542 0.0544286 0 0.0291429
19.9118 0.0585714 0 0.0311429
19.9693 0.0615714 0 0.0332857
20.0269 0.0665714 0 0.0367143
20.0844 0.071 0 0.0392857
20.142 0.0754286 0 0.0421429
20.1995 0.079 0 0.0454286
20.2571 0.084 0 0.0492857
20.3146 0.0895714 0 0.0521429
20.3722 0.0937143 0 0.0552857
20.4297 0.0992857 0 0.0591429
20.4873 0.102571 0 0.0631429
20.5448 0.108857 0 0.0664286
